name,rest_wavelength,predicted_obs,fitted_center,fitted_center_err,amplitude,amplitude_err,fitted_sigma,fwhm_km_s,ridge_length,cwt_snr,status,feature_audit,feature_audit_flag
[O II],3727.0,3723.2,3737.6,0.8,0.2,,11.51,2214.0,19,10.9,LIKELY,REMOVED,"🔵 Blue edge zone; Very broad, gentle undulation — not a distinct peak. Flux rises slowly from ~0.5 to ~0.75 across 20+ Å. CWT labeled 'broad' but this is a continuum modulation, not a spectral line."
Ca K_abs,3934.8,3930.8,3932.8,0.8,-0.5,,15.42,2767.0,8,7.3,LIKELY,KEEP,
Ca H_abs,3969.6,3965.5,3961.6,0.8,-0.3,,48.33,8615.0,4,17.4,MARGINAL,REMOVED,🔵 Blue edge zone; No absorption trough — flux is rising through this region (3960.0=0.7608 → 3961.6=0.9545 → 3962.4=0.9842). CWT appears to have detected the rising continuum slope as 'absorption'. The actual trough is near 3955.
Hε,3970.1,3966.0,,,,,,,,,NOT_FOUND,,
Hε_abs,3970.1,3966.0,,,,,,,,,NOT_FOUND,,
Hδ,4102.9,4098.7,4055.2,0.8,0.4,,18.64,3246.0,14,12.1,MARGINAL,REMOVED,Red wing of the bright emission complex peaking at 4047.2 (1.6786). Not a distinct feature — just the declining wing of a larger emission structure. CWT over-fitted the wing as a separate broad feature.
Hδ_abs,4102.9,4098.7,4177.6,0.8,-0.4,,5.95,1005.0,10,8.7,MARGINAL,FLAGGED,"Real absorption trough but minimum is at 4176.0 (0.1674), not 4177.6. CWT picked the rising edge. Trough is visually coherent but shallow relative to surrounding continuum."
G-band_abs,4305.6,4301.2,4280.0,0.8,-0.5,,8.71,1435.0,10,11.0,MARGINAL,KEEP,
Hγ,4341.7,4337.3,4266.4,0.8,0.4,,6.5,1077.0,7,8.1,MARGINAL,KEEP,
Hγ_abs,4341.7,4337.3,4348.8,0.8,-0.2,,15.42,2502.0,4,6.1,MARGINAL,FLAGGED,"Real absorption trough but minimum is at 4351.2 (0.0177), not 4348.8. CWT picked the declining shoulder. Trough is part of a broader absorption complex spanning 4340-4360."
Hβ,4862.7,4857.7,4857.6,0.8,0.5,,12.74,1851.0,6,8.4,LIKELY,REMOVED,On the declining side of a broad emission hump peaking at 4855.2 (2.0087). Not a distinct narrow peak — just part of a broader structure. CWT picked a point on the declining shoulder.
Hβ_abs,4862.7,4857.7,4824.0,0.8,-0.3,,18.64,2729.0,6,17.3,MARGINAL,REMOVED,Gentle continuum decline from the bright emission complex. Flux is still high (1.721). No absorption trough — just the broad declining slope. CWT over-fitted the continuum.
[O III]a,4960.3,4955.2,4947.2,0.8,0.0,,4.08,580.0,12,13.4,LIKELY,,
[O III]b,5008.2,5003.1,,,,,,,,,NOT_FOUND,,
Mg I_abs,5176.7,5171.4,5176.8,0.8,-0.0,,39.92,5449.0,4,10.8,MARGINAL,REMOVED,Flux is rising through this region (5176.0=0.5749 → 5176.8=0.5976 → 5177.6=0.6129). No absorption. Amplitude is 0.000. Pure CWT phantom.
Na D_abs,5895.6,5889.6,,,,,,,,,MASKED,,
[N II]a,6549.8,6543.1,6532.0,0.8,0.1,,27.26,2950.0,8,8.8,MARGINAL,REMOVED,Gentle broad hump on a rising slope. Amplitude only 0.1. Neighborhood (6480-6600) shows many similar undulations. Noise forest: 5+ peaks of comparable amplitude within ±100 Å. Target/mean ≈ 1.1×.
Hα,6564.6,6557.9,6532.0,0.8,0.1,,27.26,2950.0,8,8.8,MARGINAL,REMOVED,Gentle broad hump on a rising slope. Amplitude only 0.1. Neighborhood (6480-6600) shows many similar undulations. Noise forest: 5+ peaks of comparable amplitude within ±100 Å. Target/mean ≈ 1.1×.
Hα_abs,6564.6,6557.9,6574.4,0.8,-0.1,,5.95,638.0,6,6.8,MARGINAL,REMOVED,Essentially flat. Flux is constant at ~0.451-0.454 across 6573-6576. No absorption trough. Amplitude -0.100 is within the noise.
[N II]b,6585.3,6578.6,6532.0,0.8,0.1,,27.26,2950.0,8,8.8,MARGINAL,REMOVED,Gentle broad hump on a rising slope. Amplitude only 0.1. Neighborhood (6480-6600) shows many similar undulations. Noise forest: 5+ peaks of comparable amplitude within ±100 Å. Target/mean ≈ 1.1×.
[S II]a,6718.3,6711.4,,,,,,,,,NOT_FOUND,,
[S II]b,6732.7,6725.8,,,,,,,,,NOT_FOUND,,
CaT1_abs,8498.0,8489.3,8468.0,0.8,-0.3,,7.18,600.0,18,10.4,MARGINAL,FLAGGED,"🔴 OH airglow zone (>7800 Å). Amplitude may be contaminated by OH skyline residuals.; Deep, dramatic absorption trough. Flux drops from ~0.33 at 8464 to 0.054 at 8468.0. One of the deepest absorption features in the spectrum. Visually striking but in the OH zone."
CaT2_abs,8542.0,8533.3,8468.0,0.8,-0.3,,7.18,600.0,18,10.4,MARGINAL,FLAGGED,"🔴 OH airglow zone (>7800 Å). Amplitude may be contaminated by OH skyline residuals.; Deep, dramatic absorption trough. Flux drops from ~0.33 at 8464 to 0.054 at 8468.0. One of the deepest absorption features in the spectrum. Visually striking but in the OH zone."
CaT3_abs,8662.0,8653.1,8645.6,0.8,-0.1,,4.93,401.0,4,5.8,MARGINAL,FLAGGED,🔴 OH airglow zone (>7800 Å). Amplitude may be contaminated by OH skyline residuals.; Genuine narrow absorption trough. Flux drops from 0.243 to 0.221. Visually coherent but shallow. In the OH zone.
